,brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
0,Maruti,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,120000
1,Hyundai,5,20000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000
2,Hyundai,11,60000,Individual,Petrol,Manual,17.0,1197,80.0,5,215000
3,Maruti,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,226000
4,Ford,6,30000,Dealer,Diesel,Manual,22.77,1498,98.59,5,570000
5,Maruti,8,35000,Individual,Petrol,Manual,18.9,998,67.1,5,350000
6,Hyundai,8,40000,Dealer,Petrol,Manual,20.36,1197,78.9,5,315000
7,Maruti,3,17512,Dealer,Petrol,Manual,20.51,998,67.04,5,410000
8,Hyundai,2,20000,Individual,Petrol,Automatic,18.15,998,118.35,5,1050000
9,Maruti,4,28321,Dealer,Petrol,Manual,16.6,1197,85.0,5,511000
10,Hyundai,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000
11,Renault,5,50000,Individual,Diesel,Manual,19.64,1461,108.45,5,750000
13,Maruti,5,76000,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000
14,Maruti,5,20000,Individual,Diesel,Manual,25.2,1248,74.0,5,627000
15,Mercedes-Benz,7,65000,Dealer,Diesel,Automatic,19.27,2143,170.0,5,1425000
16,Maruti,7,62200,Dealer,Diesel,Manual,28.4,1248,74.0,5,425000
17,Toyota,8,110000,Individual,Diesel,Manual,12.99,2494,100.6,8,605000
18,Maruti,6,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
19,Maruti,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,575000
20,Volkswagen,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,425000
21,Maruti,8,25000,Dealer,Petrol,Manual,20.92,998,67.1,5,230000
22,Hyundai,2,15000,Individual,Diesel,Manual,19.67,1582,126.2,5,1225000
23,Honda,6,50000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
24,Mahindra,10,25000,Individual,Diesel,Manual,13.6,2523,63.0,7,350000
25,Maruti,6,90000,Individual,Diesel,Manual,26.59,1248,74.0,5,600000
26,Maruti,8,45000,Dealer,Diesel,Manual,26.59,1248,74.0,5,390000
27,Honda,14,77253,Dealer,Petrol,Manual,17.7,1497,78.0,5,145000
28,Hyundai,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,700000
29,Renault,4,30000,Individual,Petrol,Manual,23.01,999,67.0,5,340000
30,Honda,5,39993,Dealer,Petrol,Manual,18.6,1199,88.76,5,465000
31,Hyundai,12,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,125000
33,Maruti,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5,380000
34,Hyundai,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000
35,Hyundai,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000
36,Honda,6,31180,Dealer,Petrol,Automatic,18.0,1497,117.3,5,700000
37,Maruti,7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5,410000
38,Maruti,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000
39,Mahindra,1,40000,Individual,Diesel,Manual,21.0,1498,74.96,7,850000
40,Mahindra,3,17000,Individual,Petrol,Manual,18.15,1198,82.0,5,550000
41,Maruti,5,22000,Dealer,Petrol,Manual,15.4,1590,94.0,5,625000
42,Maruti,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000
